Dataset,Gene,Species,GO-term,Term,Definition,Ontology
Four,NSUN3,aipysurusLaevis,GO:0002127,tRNA wobble base cytosine methylation,The process in which the base of cytosine at position 34 in the anticodon of a tRNA is post-transcriptionally methylated at the C5 position.,BP
Four,PANK3,aipysurusLaevis,GO:0004594,pantothenate kinase activity,Catalysis of the reaction: ATP + pantothenate = ADP + D-4'-phosphopantothenate.,MF
Four,PANK3,aipysurusLaevis,GO:0005524,ATP binding,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF
Four,PANK3,aipysurusLaevis,GO:0042803,protein homodimerization activity,Interacting selectively and non-covalently with an identical protein to form a homodimer.,MF
Four,TBXA2R,aipysurusLaevis,GO:0090051,negative regulation of cell migration involved in sprouting angiogenesis,"Any process that decreases the frequency, rate or extent of cell migration involved in sprouting angiogenesis. Cell migration involved in sprouting angiogenesis is the orderly movement of endothelial cells into the extracellular matrix in order to form new blood vessels contributing to the process of sprouting angiogenesis.",BP
Four,PTGER3,aipysurusLaevis,GO:0004957,prostaglandin E receptor activity,Combining with prostaglandin E (PGE(2)) to initiate a change in cell activity.,MF
Four,SLC39A13,aipysurusLaevis,GO:0042803,protein homodimerization activity,Interacting selectively and non-covalently with an identical protein to form a homodimer.,MF
Four,OG32300,aipysurusLaevis,GO:0008083,growth factor activity,The function that stimulates a cell to grow or proliferate. Most growth factors have other actions besides the induction of cell growth or proliferation.,MF
Four,SDS,aipysurusLaevis,GO:0042803,protein homodimerization activity,Interacting selectively and non-covalently with an identical protein to form a homodimer.,MF
Four,SDS,aipysurusLaevis,GO:0030170,pyridoxal phosphate binding,"Interacting selectively and non-covalently with pyridoxal 5' phosphate, 3-hydroxy-5-(hydroxymethyl)-2-methyl4-pyridine carboxaldehyde 5' phosphate, the biologically active form of vitamin B6.",MF
Four,SDS,aipysurusLaevis,GO:0006565,L-serine catabolic process,"The chemical reactions and pathways resulting in the breakdown of L-serine, the L-enantiomer of serine, i.e. (2S)-2-amino-3-hydroxypropanoic acid.",BP
Four,SDS,aipysurusLaevis,GO:0003941,L-serine ammonia-lyase activity,Catalysis of the reaction: L-serine = pyruvate + NH3.,MF
Four,PITPNM1,aipysurusLaevis,GO:0031210,phosphatidylcholine binding,"Interacting selectively and non-covalently with phosphatidylcholine, a class of glycophospholipids in which a phosphatidyl group is esterified to the hydroxyl group of choline.",MF
Four,PITPNM1,aipysurusLaevis,GO:0008526,phosphatidylinositol transfer activity,"Removes phosphatidylinositol from a membrane or a monolayer lipid particle, transports it through the aqueous phase while protected in a hydrophobic pocket, and brings it to an acceptor membrane or lipid particle.",MF
Four,PITPNM1,aipysurusLaevis,GO:0070300,phosphatidic acid binding,"Interacting selectively and non-covalently with phosphatidic acid, any of a class of glycerol phosphate in which both the remaining hydroxyl groups of the glycerol moiety are esterified with fatty acids.",MF
Four,PLEK,aipysurusLaevis,GO:0032587,ruffle membrane,The portion of the plasma membrane surrounding a ruffle.,CC
Four,PLEK,aipysurusLaevis,GO:0042803,protein homodimerization activity,Interacting selectively and non-covalently with an identical protein to form a homodimer.,MF
Four,PLEK,aipysurusLaevis,GO:0005080,protein kinase C binding,Interacting selectively and non-covalently with protein kinase C.,MF
Four,PLEK,aipysurusLaevis,GO:0043325,"phosphatidylinositol-3,4-bisphosphate binding","Interacting selectively and non-covalently with phosphatidylinositol-3,4-bisphosphate, a derivative of phosphatidylinositol in which the inositol ring is phosphorylated at the 3' and 4' positions.",MF
Four,PLEK,aipysurusLaevis,GO:0010925,positive regulation of inositol-polyphosphate 5-phosphatase activity,"Any process that increases the rate or frequency of inositol-polyphosphate 5-phosphatase activity, the catalysis of the reactions: D-myo-inositol 1,4,5-trisphosphate + H2O = myo-inositol 1,4-bisphosphate + phosphate, and 1D-myo-inositol 1,3,4,5-tetrakisphosphate + H2O = 1D-myo-inositol 1,3,4-trisphosphate + phosphate.",BP
Four,PLEK,aipysurusLaevis,GO:0030845,phospholipase C-inhibiting G protein-coupled receptor signaling pathway,A G protein-coupled receptor signaling pathway which proceeds with inhibition of phospholipase C (PLC) activity and a subsequent decrease in the levels of cellular inositol trisphosphate (IP3) and diacylglycerol (DAG).,BP
Four,PLEK,aipysurusLaevis,GO:0060305,regulation of cell diameter,"Any process that modulates the diameter of a cell, the length of a line segment that crosses through the center of a circular section through a cell.",BP
Four,PLEK,aipysurusLaevis,GO:0070560,protein secretion by platelet,The regulated release of proteins by a platelet or group of platelets.,BP
Four,GYG1,aipysurusLaevis,GO:0042803,protein homodimerization activity,Interacting selectively and non-covalently with an identical protein to form a homodimer.,MF
Four,GYG1,aipysurusLaevis,GO:0030145,manganese ion binding,Interacting selectively and non-covalently with manganese (Mn) ions.,MF
Four,GYG1,aipysurusLaevis,GO:0008466,glycogenin glucosyltransferase activity,Catalysis of the reaction: UDP-glucose + glycogenin = UDP + glucosylglycogenin.,MF
Four,GYG1,aipysurusLaevis,GO:0102751,UDP-alpha-D-glucose:glucosyl-glycogenin alpha-D-glucosyltransferase activity,"Catalysis of the reaction: UDP-alpha-D-glucose + a glucosyl-glycogenin = (1,4-alpha-D-glucosyl)n-glucosyl glucogenin + UDP + H+.",MF
Four,HOGA1,aipysurusLaevis,GO:0042803,protein homodimerization activity,Interacting selectively and non-covalently with an identical protein to form a homodimer.,MF
Four,HOGA1,aipysurusLaevis,GO:0008700,4-hydroxy-2-oxoglutarate aldolase activity,Catalysis of the reaction: 4-hydroxy-2-oxoglutarate = pyruvate + glyoxylate.,MF
Four,HOGA1,aipysurusLaevis,GO:0009436,glyoxylate catabolic process,"The chemical reactions and pathways resulting in the breakdown of glyoxylate, the anion of glyoxylic acid, HOC-COOH.",BP
Four,HOGA1,aipysurusLaevis,GO:0019470,4-hydroxyproline catabolic process,"The chemical reactions and pathways resulting in the breakdown of 4-hydroxyproline, C5H9NO3, a derivative of the amino acid proline.",BP
Four,STAG1,aipysurusLaevis,GO:0097431,mitotic spindle pole,"Either of the ends of a mitotic spindle, a spindle that forms as part of mitosis, where spindle microtubules are organized; usually contains a microtubule organizing center and accessory molecules, spindle microtubules and astral microtubules.",CC
Four,FAM110C,aipysurusLaevis,GO:0051897,positive regulation of protein kinase B signaling,"Any process that activates or increases the frequency, rate or extent of protein kinase B signaling, a series of reactions mediated by the intracellular serine/threonine kinase protein kinase B.",BP
Four,FAM110C,aipysurusLaevis,GO:0043014,alpha-tubulin binding,Interacting selectively and non-covalently with the microtubule constituent protein alpha-tubulin.,MF
Four,ATF4,aipysurusLaevis,GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",Interacting selectively and non-covalently with a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to activate or increase transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units.,MF
Four,ATF4,aipysurusLaevis,GO:0046982,protein heterodimerization activity,Interacting selectively and non-covalently with a nonidentical protein to form a heterodimer.,MF
Four,ATF4,aipysurusLaevis,GO:0008140,cAMP response element binding protein binding,Interacting selectively and non-covalently with a cAMP response element binding protein (a CREB protein).,MF
Four,ATF4,aipysurusLaevis,GO:0070309,lens fiber cell morphogenesis,"The process in which the structures of a lens fiber cell are generated and organized. This process occurs while the initially relatively unspecialized cell is acquiring the specialized features of a lens fiber cell. A lens fiber cell is any of the elongated, tightly packed cells that make up the bulk of the mature lens in a camera-type eye.",BP
Four,MAFB,aipysurusLaevis,GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",Interacting selectively and non-covalently with a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to activate or increase transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units.,MF
Four,MAFB,aipysurusLaevis,GO:0035284,brain segmentation,Division of the brain into a series of semi-repetitive parts or segments.,BP
Four,MAFB,aipysurusLaevis,GO:0021599,abducens nerve formation,The process that gives rise to the abducens nerve. This process pertains to the initial formation of a structure from unspecified parts. The motor function of the abducens nerve is to contract the lateral rectus which results in abduction of the eye.,BP
Four,TMEM115,aipysurusLaevis,GO:0017119,Golgi transport complex,A  multisubunit tethering complex of the CATCHR family (complexes associated with tethering containing helical rods) that has a role in tethering vesicles to the Golgi prior to fusion. Composed of 8 subunits COG1-8.,CC
Four,GALM,aipysurusLaevis,GO:0004034,aldose 1-epimerase activity,"Catalysis of the reaction: alpha-D-glucose = beta-D-glucose. Also acts on L-arabinose, D-xylose, D-galactose, maltose and lactose.",MF
Four,DND1,aipysurusLaevis,GO:0061158,3'-UTR-mediated mRNA destabilization,An mRNA destabilization process in which one or more RNA-binding proteins associate with the 3'-untranslated region (UTR) of an mRNA.,BP
Four,PEX16,aipysurusLaevis,GO:0008022,protein C-terminus binding,"Interacting selectively and non-covalently with a protein C-terminus, the end of any peptide chain at which the 1-carboxyl function of a constituent amino acid is not attached in peptide linkage to another amino-acid residue.",MF
Four,PEX16,aipysurusLaevis,GO:0005779,integral component of peroxisomal membrane,The component of the peroxisomal membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.,CC
Four,PEX16,aipysurusLaevis,GO:0045046,protein import into peroxisome membrane,"The targeting of proteins into the peroxisomal membrane. The process is not well understood, but both signals and mechanism differ from those involved in peroxisomal matrix protein import.",BP
Four,PEX16,aipysurusLaevis,GO:0016557,peroxisome membrane biogenesis,"The process in which a peroxisome membrane is synthesized, aggregates, and bonds together.",BP
Four,PEX16,aipysurusLaevis,GO:0032581,ER-dependent peroxisome organization,A process of peroxisome organization in which assembly or arrangement of constituent parts takes place in the endoplasmic reticulum.,BP
Four,PEX16,aipysurusLaevis,GO:0106101,ER-dependent peroxisome localization,"A process in which a protein is transported to, or maintained at, a location in a peroxisome via the endoplasmic reticulum.",BP
Four,HOXD10,aipysurusLaevis,GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",Interacting selectively and non-covalently with a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to activate or increase transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units.,MF
Four,HOXD10,aipysurusLaevis,GO:0030955,potassium ion binding,Interacting selectively and non-covalently with potassium (K+) ions.,MF
Four,ALAD,aipysurusLaevis,GO:0004655,porphobilinogen synthase activity,Catalysis of the reaction: 2 5-aminolevulinate = 2 H(2)O + H(+) + porphobilinogen.,MF
Four,SLC25A33,aipysurusLaevis,GO:0015218,pyrimidine nucleotide transmembrane transporter activity,"Enables the transfer of a pyrimidine nucleotide, any compound consisting of a pyrimidine nucleoside esterified with (ortho)phosphate, from one side of a membrane to the other.",MF
Four,SLC25A33,aipysurusLaevis,GO:0034551,mitochondrial respiratory chain complex III assembly,"The aggregation, arrangement and bonding together of a set of components to form the cytochrome bc(1) complex (also known as ubiquinol-cytochrome c reductase), in the mitochondrial inner membrane.",BP
Four,SLC25A33,aipysurusLaevis,GO:0031930,mitochondria-nucleus signaling pathway,A series of molecular signals that forms a pathway of communication from the mitochondria to the nucleus and initiates cellular changes in response to changes in mitochondrial function.,BP
Four,ICMT,aipysurusLaevis,GO:0004671,protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity,Catalysis of the reaction: S-adenosyl-L-methionine + protein C-terminal S-farnesyl-L-cysteine = S-adenosyl-L-homocysteine + protein C-terminal S-farnesyl-L-cysteine methyl ester.,MF
Four,KAZALD1,aipysurusLaevis,GO:0005614,interstitial matrix,"A type of extracellular matrix found in interstitial connective tissue, characterized by the presence of fibronectins, proteoglycans, and types I, III, V, VI, VII and XII collagens.",CC
Four,PIM3,aipysurusLaevis,GO:0005524,ATP binding,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF
Four,OG36943,aipysurusLaevis,GO:0000287,magnesium ion binding,Interacting selectively and non-covalently with magnesium (Mg) ions.,MF
Four,VCPIP1,aipysurusLaevis,GO:0004843,thiol-dependent ubiquitin-specific protease activity,Catalysis of the thiol-dependent hydrolysis of a peptide bond formed by the C-terminal glycine of ubiquitin and another protein.,MF
Four,VCPIP1,aipysurusLaevis,GO:0035871,protein K11-linked deubiquitination,"A protein deubiquitination process in which a K11-linked ubiquitin chain, i.e. a polymer of ubiquitin formed by linkages between lysine residues at position 11 of the ubiquitin monomers, is removed from a protein.",BP
Four,VCPIP1,aipysurusLaevis,GO:0106300,protein-DNA covalent cross-linking repair,The removal of covalent cross-link between DNA and a protein.,BP
Four,AUH,aipysurusLaevis,GO:0004300,enoyl-CoA hydratase activity,Catalysis of the reaction: (3S)-3-hydroxyacyl-CoA = trans-2-enoyl-CoA + H2O.,MF
Four,ATP2B1,aipysurusLaevis,GO:0005524,ATP binding,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF
Four,ASRGL1,aipysurusLaevis,GO:0004067,asparaginase activity,Catalysis of the reaction: L-asparagine + H2O = L-aspartate + NH3.,MF
Four,ASRGL1,aipysurusLaevis,GO:0008798,beta-aspartyl-peptidase activity,Catalysis of the cleavage of a beta-linked aspartic residue from the N-terminus of a polypeptide.,MF
Four,ASRGL1,aipysurusLaevis,GO:0033345,asparagine catabolic process via L-aspartate,"The chemical reactions and pathways resulting in the breakdown of glutamate, via the intermediate L-aspartate.",BP
Four,SGTA,aipysurusLaevis,GO:0071816,tail-anchored membrane protein insertion into ER membrane,"A process of protein insertion into the endoplasmic reticulum (ER) membrane in which a tail-anchored (TA) transmembrane protein is incorporated into an endoplasmic reticulum (ER) membrane. TA transmembrane protein, also named type II transmembrane proteins, contain a single C- terminal transmembrane region.",BP
Four,HOXD13,aipysurusLaevis,GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",Interacting selectively and non-covalently with a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to activate or increase transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units.,MF
Four,HOXD13,aipysurusLaevis,GO:0060527,prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis,The branching morphogenesis process in which the prostate epithelial cords branch freely to create the structure of the prostate acini.,BP
Four,HOXD13,aipysurusLaevis,GO:0060687,regulation of branching involved in prostate gland morphogenesis,"Any process that modulates the rate, frequency, or extent of prostate gland branching, the process in which the branching structure of the prostate gland is generated and organized. A branch is a division or offshoot from a main stem.",BP
Four,PEX26,aipysurusLaevis,GO:0005779,integral component of peroxisomal membrane,The component of the peroxisomal membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.,CC
Four,PEX26,aipysurusLaevis,GO:0045046,protein import into peroxisome membrane,"The targeting of proteins into the peroxisomal membrane. The process is not well understood, but both signals and mechanism differ from those involved in peroxisomal matrix protein import.",BP
Four,PPT1,aipysurusLaevis,GO:0002084,protein depalmitoylation,The removal of palymitoyl groups from a lipoprotein.,BP
Four,PPT1,aipysurusLaevis,GO:0008474,palmitoyl-(protein) hydrolase activity,Catalysis of the reaction: palmitoyl-protein + H2O = palmitate + protein.,MF
Four,PPT1,aipysurusLaevis,GO:0007042,lysosomal lumen acidification,"Any process that reduces the pH of the lysosomal lumen, measured by the concentration of the hydrogen ion.",BP
Four,PPT1,aipysurusLaevis,GO:0035727,lysophosphatidic acid binding,"Interacting selectively and non-covalently with lysophosphatidic acid (LPA), a phospholipid derivative that acts as a potent mitogen due to its activation of high-affinity G protein-coupled receptors.",MF
Four,PPT1,aipysurusLaevis,GO:0016290,palmitoyl-CoA hydrolase activity,Catalysis of the reaction: palmitoyl-CoA + H2O = CoA + palmitate.,MF
Four,PPT1,aipysurusLaevis,GO:0120146,sulfatide binding,"Interacting selectively and non-covalently with sulfatide, also known as 3-O-sulfogalactosylceramide, SM4, or sulfated galactocerebroside. Sulfatide is a class of sulfoglycolipid, which are glycolipids that contain a sulfate group.",MF
Four,BPNT1,aipysurusLaevis,GO:0046854,phosphatidylinositol phosphorylation,"The process of introducing one or more phosphate groups into a phosphatidylinositol, any glycerophosphoinositol having one phosphatidyl group esterified to one of the hydroxy groups of inositol.",BP
Four,BCCIP,aipysurusLaevis,GO:0005814,centriole,"A cellular organelle, found close to the nucleus in many eukaryotic cells, consisting of a small cylinder with microtubular walls, 300-500 nm long and 150-250 nm in diameter. It contains nine short, parallel, peripheral microtubular fibrils, each fibril consisting of one complete microtubule fused to two incomplete microtubules. Cells usually have two centrioles, lying at right angles to each other. At division, each pair of centrioles generates another pair and the twin pairs form the pole of the mitotic spindle.",CC
Four,BCCIP,aipysurusLaevis,GO:0097431,mitotic spindle pole,"Either of the ends of a mitotic spindle, a spindle that forms as part of mitosis, where spindle microtubules are organized; usually contains a microtubule organizing center and accessory molecules, spindle microtubules and astral microtubules.",CC
Four,XPO5,aipysurusLaevis,GO:0016442,RISC complex,"A ribonucleoprotein complex that contains members of the Argonaute family of proteins, small interfering RNAs (siRNAs) or microRNAs (miRNAs), and miRNA or siRNA-complementary mRNAs, in addition to a number of accessory factors. The RISC complex is involved in posttranscriptional repression of gene expression through downregulation of translation or induction of mRNA degradation.",CC
Four,XPO5,aipysurusLaevis,GO:0005049,nuclear export signal receptor activity,"Combining with a nuclear export signal (NES) on a cargo to be transported, to mediate transport of a the cargo through the nuclear pore, from the nuclear lumen to the cytoplasm. The cargo can be either a RNA or a protein.",MF
Four,XPO5,aipysurusLaevis,GO:0035281,pre-miRNA export from nucleus,"Transport of pre-microRNAs (pre-miRNAs) from the nucleus to the cytoplasm. Pre-miRNAs are a ~60-70 nucleotide stem loop intermediate in miRNA production, produced by the nuclear cleavage of a primary miRNA (pri-mRNA) transcript. Pre-miRNAs are transported from the nucleus to the cytoplasm where further cleavage occurs to produce a mature miRNA product.",BP
Four,XPO5,aipysurusLaevis,GO:0042565,RNA nuclear export complex,"A complex which usually consists of three components, e.g. in Xenopus and yeast, the export receptor CRM1 (also known as exportin 1), the Ran protein and any RNA with a nuclear export sequence (NES). The complex acts to export RNA molecules with a NES from the nucleus through a nuclear pore.",CC
Four,ERCC1,aipysurusLaevis,GO:0008022,protein C-terminus binding,"Interacting selectively and non-covalently with a protein C-terminus, the end of any peptide chain at which the 1-carboxyl function of a constituent amino acid is not attached in peptide linkage to another amino-acid residue.",MF
Four,ERCC1,aipysurusLaevis,GO:0006296,"nucleotide-excision repair, DNA incision, 5'-to lesion",The endonucleolytic cleavage of the damaged strand of DNA 5' to the site of damage. The incision occurs at the junction of single-stranded DNA and double-stranded DNA that is formed when the DNA duplex is unwound. The incision follows the incision formed 3' to the site of damage.,BP
Four,ERCC1,aipysurusLaevis,GO:0006295,"nucleotide-excision repair, DNA incision, 3'-to lesion",The endonucleolytic cleavage of the damaged strand of DNA 3' to the site of damage. The incision occurs at the junction of single-stranded DNA and double-stranded DNA that is formed when the DNA duplex is unwound. The incision precedes the incision formed 5' to the site of damage.,BP
Four,ERCC1,aipysurusLaevis,GO:0061819,telomeric DNA-containing double minutes formation,A telomere maintenance process that results in the formation of small fragments of circular extrachromosomal DNA elements which contain telomeric DNA. It is speculated that telomeric DNA-containing double minutes are formed through a recombination event between the telomere and chromosome-internal TTAGGG-like sequences. Telomeric DNA-containing double minutes appear as two closely positioned dots in metaphase.,BP
Four,ERCC1,aipysurusLaevis,GO:0000110,nucleotide-excision repair factor 1 complex,"One of several protein complexes involved in nucleotide-excision repair; possesses DNA damage recognition and endodeoxynuclease activities. In S. cerevisiae, it is composed of Rad1p, Rad10p, and Rad14p; in human the subunits are ERCC4/XPF, ERCC1 and XPA, respectively.",CC
Four,ERCC1,aipysurusLaevis,GO:0070522,ERCC4-ERCC1 complex,"A heterodimeric nucleotide-excision repair complex that has endonuclease activity specific for bubble structures characteristic of certain DNA lesions. The subunits are known as XPF/ERCC4 and ERCC1 in mammals, and Rad1p and Rad10p in S. cerevisiae.",CC
Four,TST,aipysurusLaevis,GO:0004792,thiosulfate sulfurtransferase activity,Catalysis of the reaction: hydrogen cyanide + thiosulfate = H(+) + sulfite + thiocyanate.,MF
Four,CRK,aipysurusLaevis,GO:0042169,SH2 domain binding,"Interacting selectively and non-covalently with a SH2 domain (Src homology 2) of a protein, a protein domain of about 100 amino-acid residues and belonging to the alpha + beta domain class.",MF
Four,CRK,aipysurusLaevis,GO:0046875,ephrin receptor binding,Interacting selectively and non-covalently with an ephrin receptor.,MF
Four,CRK,aipysurusLaevis,GO:0001784,phosphotyrosine residue binding,Interacting selectively and non-covalently with a phosphorylated tyrosine residue within a protein.,MF
Four,CRK,aipysurusLaevis,GO:0017124,SH3 domain binding,"Interacting selectively and non-covalently with a SH3 domain (Src homology 3) of a protein, small protein modules containing approximately 50 amino acid residues found in a great variety of intracellular or membrane-associated proteins.",MF
Four,CNOT9,aipysurusLaevis,GO:0042803,protein homodimerization activity,Interacting selectively and non-covalently with an identical protein to form a homodimer.,MF
Four,CNOT9,aipysurusLaevis,GO:0033147,negative regulation of intracellular estrogen receptor signaling pathway,"Any process that stops, prevents, or reduces the frequency, rate or extent of the activity of an intracellular estrogen receptor signaling pathway.",BP
Four,PUM1,aipysurusLaevis,GO:0010494,cytoplasmic stress granule,A dense aggregation in the cytosol composed of proteins and RNAs that appear when the cell is under stress.,CC
Four,PUM1,aipysurusLaevis,GO:0035198,miRNA binding,"Interacting selectively and non-covalently with a microRNA, a 21-23 nucleotide RNA that is processed from a stem-loop RNA precursor (pre-miRNA) that is encoded within plant and animal genomes.",MF
Four,CDK2,aipysurusLaevis,GO:0005524,ATP binding,"Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",MF
Four,TMEM106A,aipysurusLaevis,GO:0032755,positive regulation of interleukin-6 production,"Any process that activates or increases the frequency, rate, or extent of interleukin-6 production.",BP
Four,TMEM106A,aipysurusLaevis,GO:0032760,positive regulation of tumor necrosis factor production,"Any process that activates or increases the frequency, rate or extent of tumor necrosis factor production.",BP
Four,TMEM106A,aipysurusLaevis,GO:0045348,positive regulation of MHC class II biosynthetic process,"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of MHC class II.",BP
Four,TMEM106A,aipysurusLaevis,GO:0032731,positive regulation of interleukin-1 beta production,"Any process that activates or increases the frequency, rate, or extent of interleukin-1 beta production.",BP
Four,CRX,aipysurusLaevis,GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",Interacting selectively and non-covalently with a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to activate or increase transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units.,MF
Four,CRX,aipysurusLaevis,GO:0043522,leucine zipper domain binding,"Interacting selectively and non-covalently with a leucine zipper domain, a protein secondary structure exhibiting a periodic repetition of leucine residues at every seventh position over a distance covering eight helical turns.",MF
Four,SIX1A,aipysurusLaevis,GO:0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",Interacting selectively and non-covalently with a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to activate or increase transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units.,MF
Four,SIX1A,aipysurusLaevis,GO:0042474,middle ear morphogenesis,"The process in which the anatomical structures of the middle ear are generated and organized. The middle ear is the air-filled cavity within the skull of vertebrates that lies between the outer ear and the inner ear. It is linked to the pharynx (and therefore to outside air) via the Eustachian tube and in mammals contains the three ear ossicles, which transmit auditory vibrations from the outer ear (via the tympanum) to the inner ear (via the oval window).",BP
Four,SIX1A,aipysurusLaevis,GO:0072137,condensed mesenchymal cell proliferation,"The multiplication or reproduction of cells, resulting in the expansion of a condensed mesenchymal cell population. A condensed mesenchymal cell population is a population of adherent mesenchymal cells.",BP
Four,TMBIM6,aipysurusLaevis,GO:0031625,ubiquitin protein ligase binding,"Interacting selectively and non-covalently with a ubiquitin protein ligase enzyme, any of the E3 proteins.",MF
Four,TMBIM6,aipysurusLaevis,GO:0060698,endoribonuclease inhibitor activity,"Stops, prevents or reduces the activity of an endoribonuclease, any enzyme that catalyzes the hydrolysis of ester linkages within ribonucleic acid by creating internal breaks.",MF
Four,TMBIM6,aipysurusLaevis,GO:0060702,negative regulation of endoribonuclease activity,"Any process that decreases the rate, frequency or extent of the catalysis of the hydrolysis of ester linkages within ribonucleic acid by creating internal breaks.",BP
Four,CXXC5,aipysurusLaevis,GO:0008327,methyl-CpG binding,Interacting selectively and non-covalently with a methylated cytosine/guanine dinucleotide.,MF
Four,MN1,aipysurusLaevis,GO:0033689,negative regulation of osteoblast proliferation,"Any process that stops, prevents or reduces the rate or extent of osteoblast proliferation.",BP
Four,MN1,aipysurusLaevis,GO:0070564,positive regulation of vitamin D receptor signaling pathway,"Any process that activates or increases the frequency, rate or extent of vitamin D receptor signaling pathway activity.",BP
Four,STX12,aipysurusLaevis,GO:0050821,protein stabilization,Any process involved in maintaining the structure and integrity of a protein and preventing it from degradation or aggregation.,BP
Four,STX12,aipysurusLaevis,GO:0031083,BLOC-1 complex,"A protein complex required for the biogenesis of specialized organelles of the endosomal-lysosomal system, such as melanosomes and platelet dense granules. Many of the protein subunits are conserved between mouse and human; the mouse complex contains the Pallidin, Muted, Cappuccino, Dysbindin, Snapin, BLOS1, BLOS2, AND BLOS3 proteins.",CC
Four,STX12,aipysurusLaevis,GO:0005484,SNAP receptor activity,Acting as a marker to identify a membrane and interacting selectively with one or more SNAREs on another membrane to mediate membrane fusion.,MF
Four,RPA2,aipysurusLaevis,GO:0031625,ubiquitin protein ligase binding,"Interacting selectively and non-covalently with a ubiquitin protein ligase enzyme, any of the E3 proteins.",MF
Four,RPA2,aipysurusLaevis,GO:0016605,PML body,"A class of nuclear body; they react against SP100 auto-antibodies (PML, promyelocytic leukemia); cells typically contain 10-30 PML bodies per nucleus; alterations in the localization of PML bodies occurs after viral infection.",CC
Four,RPA2,aipysurusLaevis,GO:0035861,site of double-strand break,A region of a chromosome at which a DNA double-strand break has occurred. DNA damage signaling and repair proteins accumulate at the lesion to respond to the damage and repair the DNA to form a continuous DNA helix.,CC
Four,RPA2,aipysurusLaevis,GO:0098505,G-rich strand telomeric DNA binding,"Interacting selectively and non-covalently with G-rich, single-stranded, telomere-associated DNA.",MF
Four,PSMB5,aipysurusLaevis,GO:0004298,threonine-type endopeptidase activity,Catalysis of the hydrolysis of internal peptide bonds in a polypeptide chain by a mechanism in which the hydroxyl group of a threonine residue at the active center acts as a nucleophile.,MF
Four,TSC1,aipysurusLaevis,GO:0051879,Hsp90 protein binding,"Interacting selectively and non-covalently with Hsp90 proteins, any of a group of heat shock proteins around 90kDa in size.",MF
Four,TSC1,aipysurusLaevis,GO:0050821,protein stabilization,Any process involved in maintaining the structure and integrity of a protein and preventing it from degradation or aggregation.,BP
Four,TSC1,aipysurusLaevis,GO:0051087,chaperone binding,"Interacting selectively and non-covalently with a chaperone protein, a class of proteins that bind to nascent or unfolded polypeptides and ensure correct folding or transport.",MF
Four,TSC1,aipysurusLaevis,GO:0030544,Hsp70 protein binding,"Interacting selectively and non-covalently with Hsp70 proteins, any of a group of heat shock proteins around 70kDa in size.",MF
Four,TSC1,aipysurusLaevis,GO:0090630,activation of GTPase activity,Any process that initiates the activity of an inactive GTPase through the replacement of GDP by GTP.,BP
Four,TSC1,aipysurusLaevis,GO:0051894,positive regulation of focal adhesion assembly,"Any process that activates or increases the frequency, rate or extent of focal adhesion assembly, the establishment and maturation of focal adhesions.",BP
Four,TSC1,aipysurusLaevis,GO:0045792,negative regulation of cell size,Any process that reduces cell size.,BP
